% The NRC Affect Intensity Lexicon v0.5
% www.saifmohammad.com/WebPages/AffectIntensity.htm
% Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)
%
% The NRC Affect Intensity Lexicon is a list of English words and their
% associations with four basic emotions (anger, fear, sadness, joy). 
%
% Words can be associated with different intensities (or degrees) of an emotion.
% For example, most people will agree that the word condemn is associated with a
% greater degree of anger (or more anger) than the word irritate. However,
% annotating instances for fine-grained degrees of affect is a substantially more
% difficult undertaking than categorical annotation: respondents are presented
% with greater cognitive load and it is particularly hard to ensure consistency
% (both across responses by different annotators and within the responses produced
% by the same annotator). Here, for the first time, we create an affect intensity
% lexicon with real-valued scores of association using best--worst scaling.
% 
% For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
% that the word conveys the highest amount of emotion X.  A score of 0 means that
% the word conveys the lowest amount of emotion X.
% 
% Details of the lexicon are in this paper.
% Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.
%
% The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
% joy, and sadness. (We will soon be adding entries for four more emotions: trust,
% disgust, anticipation, and surprise. We will also be adding entries for valence,
% arousal, and dominance.)	It includes common English terms as well as terms
% that are more prominent in social media platforms, such as Twitter. It includes
% terms that are associated with emotions to various degrees. For a given emotion,
% this even includes some terms that may not predominantly convey that emotion (or
% that convey an antonymous emotion), and yet tend to co-occur with terms that do.
% (Antonymous terms tend to co-occur with each other more often than chance, and
% are particularly problematic when one uses automatic co-occurrence-based
% statistical methods to capture word--emotion connotations.)



@relation 'The NRC Affect Intensity Lexicon v0.5. More info at:www.saifmohammad.com/WebPages/AffectIntensity.htm'

@attribute term string
@attribute anger_Score numeric
@attribute fear_Score numeric
@attribute sadness_Score numeric
@attribute joy_Score numeric

@data
noob,0.133,?,?,?
noose,?,?,0.391,?
nopoint,0.266,?,?,?
noregrets,?,?,?,0.328
northeast,?,0.088,?,?
noschool,?,?,?,0.516
nosey,0.213,?,?,?
nosnow,?,?,0.169,?
nostalgia,?,?,0.312,0.47
nostalgic,?,?,?,0.439
nostress,?,?,?,0.421
nosun,?,?,0.255,?
notable,?,?,?,0.297
notamorningperson,0.266,?,?,?
nothappy,0.412,?,?,?
nothingbetter,?,?,?,0.647
nothingness,?,?,0.594,?
notoriety,0.25,0.109,?,?
notready,?,0.281,?,?
nowork,?,?,?,0.344
noworries,?,?,?,0.453
noxious,?,0.547,?,?
nuisance,0.406,?,?,?
numbness,?,?,0.359,?
nursery,?,?,?,0.234
nurture,0.059,0.078,?,0.469
nutritious,?,?,0.015,?
oasis,?,?,?,0.486
obesity,?,?,0.359,?
obey,?,0.016,?,?
obi,?,0.375,?,?
obit,?,?,0.703,?
obituary,?,?,0.672,?
objection,0.469,?,?,?
obliging,0.141,0.25,?,0.333
obligor,?,0.375,?,?
obliterate,0.843,0.766,0.594,?
obliterated,0.894,0.8,?,?
obliteration,?,0.75,0.75,?
oblivion,0.437,0.609,?,?
obnoxious,0.484,?,0.406,?
obscenity,0.641,?,?,?
obsessing,?,0.312,?,?
obstacle,0.242,0.344,0.266,?
obstruct,0.5,0.438,?,?
obstructive,0.542,?,?,?
obtainable,?,?,?,0.156
occult,?,0.559,?,?
ocd,?,0.375,?,?
ocean,?,?,?,0.286
oddity,?,?,0.188,?
odious,0.667,0.5,?,?
offend,0.75,?,?,?
offended,0.652,?,0.5,?
offender,0.53,0.698,0.594,?
offense,0.469,0.422,0.484,?
offensive,0.549,?,?,?
ogre,?,0.609,?,?
ohdear,?,0.406,?,?
ohgod,?,0.453,?,?
ohno,?,0.484,?,?
ohshit,?,0.766,?,?
oils,?,?,?,0.141
older,?,?,0.25,?
omen,?,0.594,?,?
omgomgomg,?,0.453,?,?
ominous,?,0.594,?,?
omnipotence,?,0.406,?,?
oncoming,?,0.281,?,?
oneday,?,?,?,0.197
onedge,?,0.359,?,?
onelove,?,?,?,0.606
oneness,?,?,?,0.426
onerous,0.406,?,0.223,?
opera,0.061,0.057,0.078,0.109
operation,?,0.266,?,?
opinionated,0.359,?,?,?
opium,0.18,0.344,0.303,?
opponent,0.328,0.312,?,?
opportune,?,?,?,0.406
opposed,0.484,0.344,?,?
opposition,0.469,?,?,?
oppress,0.49,0.516,0.664,?
oppression,0.603,0.688,0.812,?
oppressive,0.574,0.656,0.625,?
oppressor,0.609,0.609,0.703,?
optimism,?,?,?,0.703
optimistic,?,?,?,0.723
orc,0.289,0.388,?,?
orchard,?,?,?,0.221
orchestra,0.132,?,0.109,0.221
ordeal,0.5,?,?,?
ordination,?,?,?,0.234
ordnance,?,0.312,?,?
organ,?,?,?,0.094
organization,?,?,?,0.156
orgasm,?,?,?,0.765
orphan,?,0.453,0.734,?
oust,0.484,?,0.375,?
outbreak,?,0.672,?,?
outburst,0.757,0.547,0.531,0.176
outcast,?,0.388,0.672,?
outcry,0.544,0.547,?,?
outdoors,?,?,?,0.25
outpost,?,0.328,?,?
outrage,0.848,?,?,?
outraged,0.964,?,?,?
outsider,?,0.413,?,?
outstanding,?,?,?,0.879
ovation,?,?,0.078,?
overbearing,0.547,?,?,?
overcast,?,?,0.375,?
overcome,?,0.203,?,?
overcoming,?,0.188,?,?
overdrive,?,0.234,?,?
overdue,?,?,0.281,?
overflowing,?,?,?,0.588
overjoyed,?,?,?,0.909
overload,?,?,0.172,?
overplayed,0.206,?,?,?
overpowering,0.591,0.562,?,?
overpriced,0.212,?,0.141,?
overrun,0.429,?,?,?
overslept,?,0.226,?,?
overt,?,0.391,?,?
overthemoon,?,?,?,0.875
overthinker,?,0.153,?,?
overthinking,?,0.309,?,?
overthrow,?,0.547,?,?
overtired,?,0.218,?,?
overwhelmed,?,0.469,0.609,?
owing,0.221,0.188,0.398,?
pacing,?,0.316,?,?
pain,?,0.594,0.719,?
pained,?,0.578,0.833,?
painful,0.426,0.844,0.75,?
painfully,?,?,0.758,?
pale,?,?,0.234,?
palpitations,?,0.484,?,?
palsy,?,0.516,0.625,?
pandemic,?,0.664,0.75,?
panic,?,0.75,?,?
panicattack,?,0.774,?,?
panicked,?,0.844,?,?
panicking,?,0.708,?,?
parachute,?,0.344,?,?
parade,?,0.062,?,0.621
paradise,?,?,?,0.833
paragon,?,?,?,0.266
paralysis,0.295,0.734,0.719,?
paralyze,?,0.828,?,?
paralyzed,0.333,0.859,0.703,?
paranoia,?,0.594,?,?
paranoid,?,0.688,?,?
parasite,?,0.578,?,?
pare,0.182,0.367,0.155,?
parting,?,?,0.375,?
partner,?,?,?,0.333
party,?,?,?,0.765
passion,?,?,?,0.603
passionate,?,?,?,0.734
pastor,?,?,?,0.197
pastry,?,?,?,0.229
pathetic,?,?,0.688,?
pathway,?,?,?,0.188
patient,?,?,?,0.186
patronising,0.5,?,?,?
patter,0.258,?,?,?
paucity,0.359,?,0.438,?
pauper,?,?,0.562,?
pay,?,?,?,0.242
payback,0.436,?,?,?
payday,?,?,?,0.515
peace,?,?,?,0.576
peaceful,?,?,?,0.636
peacefully,?,?,?,0.594
peaceofmind,?,?,?,0.891
pedicure,?,?,?,0.328
peeved,0.688,?,?,?
peice,0.172,?,?,?
penal,?,0.453,0.469,?
penalty,0.484,0.453,0.469,?
penance,?,0.406,0.531,?
penetration,0.422,0.531,?,?
penitentiary,0.422,?,?,?
pensive,?,?,0.438,?
peppermint,?,?,?,0.156
perdition,0.562,0.577,0.569,?
perfect,?,?,?,0.719
perfection,?,?,?,0.779
peril,?,0.859,0.656,?
perilous,?,0.641,0.641,?
perish,?,0.784,0.859,?
perished,?,?,0.797,?
perishing,?,0.672,0.804,?
perjury,?,0.484,?,?
pernicious,0.576,0.516,0.469,?
perpetrator,0.469,0.56,0.359,?
perplexity,?,?,0.453,?
persecute,0.734,0.672,?,?
persecution,0.703,0.797,0.844,?
perspective,?,?,?,0.221
perturbation,?,0.641,?,?
perverse,0.415,0.438,?,?
perversion,0.53,?,0.469,?
pervert,0.485,?,?,?
pessimism,0.375,0.359,0.576,?
pessimist,?,0.317,0.562,?
pest,0.348,0.344,?,?
pestilence,?,0.625,?,?
petloss,?,?,0.594,?
petpeeve,0.375,?,?,?
petrified,?,0.844,?,?
phalanx,?,0.342,?,?
phantom,?,0.538,?,?
pharmacy,?,0.123,?,?
phew,?,0.203,?,?
pho,?,?,?,0.212
phobia,?,0.719,?,?
phony,0.328,?,?,?
picket,0.378,0.25,?,?
picketing,0.456,?,?,?
picnic,?,?,?,0.394
picturesque,?,?,?,0.578
pieceofshit,0.81,?,?,?
pillage,0.578,0.574,?,?
pine,?,?,0.25,?
pinion,?,0.234,?,?
pious,?,?,0.219,?
pique,0.391,?,?,?
pirate,0.344,?,?,?
pissed,0.894,?,?,?
pissedoff,0.812,?,?,?
pissesmeoff,0.812,?,?,?
pissingmeoff,0.848,?,?,?
pissoff,0.875,?,?,?
pitfall,0.375,0.562,0.394,?
pitter,?,?,?,0.134
pity,?,?,0.547,?
plague,?,0.703,0.547,?
plaintive,?,?,0.359,?
planes,?,0.274,?,?
playful,0.061,?,?,0.609
playground,?,?,?,0.391
playhouse,?,?,?,0.312
plea,?,0.377,0.344,?
pleasant,?,?,?,0.656
pleased,?,?,?,0.725
pleasing,?,?,?,0.75
pleasurable,?,?,?,0.877
pleasure,?,?,?,0.803
pleasures,?,?,?,0.891
pledge,?,?,?,0.344
plight,?,0.516,0.621,?
plummet,?,0.613,?,?
plunder,0.469,0.516,0.461,?
plunge,?,0.547,?,?
pneumonia,?,0.625,?,?
poachers,0.515,?,?,?
poaching,0.515,0.484,0.594,?
poems,?,?,?,0.412
pointless,?,?,0.394,?
poise,?,0.094,?,?
poison,0.697,0.797,0.672,?
poisoned,0.636,0.886,0.667,?
poisonous,0.672,0.812,0.641,?
pokes,0.379,?,?,?
polemic,0.359,?,?,?
police,?,0.328,?,?
policeman,?,0.121,?,?
polio,?,0.562,0.656,?
politics,0.234,?,?,?
pond,?,?,?,0.089
pony,?,?,?,0.312
positive,?,?,?,0.761
positiveenergy,?,?,?,0.742
positively,?,?,?,0.676
positivity,?,?,?,0.773
posse,?,0.266,?,?
possess,?,?,?,0.219
possessed,0.5,0.594,?,?
possession,0.206,0.406,?,?
posthumous,?,?,0.625,?
pound,0.481,?,?,?
pounding,?,0.594,?,?
pout,0.203,?,?,?
pouting,0.25,?,?,?
poverty,0.312,0.391,0.69,?
pow,0.515,?,?,?
powerful,0.424,0.312,?,0.516
powerfully,?,0.454,?,?
powerless,0.203,0.562,0.641,?
practiced,?,?,?,0.264
praise,?,?,?,0.578
praised,?,?,?,0.652
praisegod,?,?,?,0.625
praisejesus,?,?,?,0.691
praises,?,?,?,0.652
praiseworthy,?,?,?,0.609
praising,?,?,?,0.719
pray,?,0.109,?,0.469
prayer,?,?,?,0.439
prayforme,?,0.5,?,?
praying,?,0.047,?,?
precarious,?,0.547,0.406,?
precious,?,?,?,0.682
precipice,?,0.469,?,?
preclude,0.188,?,?,?
predicament,?,0.438,?,?
prejudice,0.545,?,?,?
prejudiced,?,0.484,?,?
prejudicial,0.531,?,?,?
premeditated,?,0.5,?,?
preposterous,0.547,?,?,?
present,?,?,?,0.441
presents,?,?,?,0.516
preservative,?,?,?,0.242
pressure,?,0.375,?,?
prestige,?,?,?,0.485
presto,?,?,?,0.312
presumptuous,0.288,?,?,?
pretending,0.152,?,?,?
pretty,?,?,?,0.469
prevail,?,?,?,0.562
prevent,?,0.125,?,?
prey,?,0.703,?,?
priceless,?,?,?,0.641
prick,0.835,0.438,?,?
pride,?,?,?,0.516
priesthood,?,?,0.109,0.121
princely,?,?,?,0.515
princess,?,?,?,0.469
prison,0.529,0.625,0.594,?
prisoner,0.516,0.562,0.531,?
privileged,?,?,?,0.485
probation,?,0.438,0.336,?
problem,?,0.266,0.438,?
procedure,?,0.391,?,?
procession,?,?,0.152,0.242
profane,0.75,?,?,?
profanity,0.673,?,?,?
proficiency,?,?,?,0.359
prognosis,?,0.217,?,?
progress,?,?,?,0.397
progression,?,?,0.201,0.312
prohibited,0.328,0.5,?,?
projectile,?,0.654,?,?
projectiles,?,0.75,?,?
promise,?,?,?,0.415
prosecute,0.63,0.609,0.5,?
prosper,?,?,?,0.562
prosperity,?,?,?,0.735
prosperous,?,?,?,0.66
prostitution,?,?,0.375,?
protestant,?,0.359,?,?
proud,?,?,?,0.704
providing,?,?,?,0.3
provocation,0.625,?,?,?
provoking,0.578,?,?,?
prowl,?,0.422,?,?
pry,0.266,?,?,?
psalm,?,?,?,0.328
psalms,?,?,?,0.288
psych,?,0.344,?,?
psychiatrist,?,0.234,?,?
psychological,?,0.375,?,?
psychosis,0.441,0.703,0.638,?
ptsd,?,0.75,?,?
publicspeaking,?,0.422,?,?
puma,?,0.465,?,?
pumped,?,?,?,0.567
punch,0.713,0.58,0.391,?
punched,0.803,?,?,?
punching,0.803,?,?,?
puncture,0.594,?,?,?
punish,?,0.531,?,?
punished,0.662,0.641,0.672,?
punishing,0.788,0.562,0.703,?
punishment,0.547,0.656,?,?
punitive,0.439,0.425,0.562,?
pure,?,?,?,0.364
purebliss,?,?,?,0.909
purgatory,?,0.656,?,?
purge,?,0.562,?,?
purify,?,?,?,0.409
purpose,?,?,?,0.348
purr,?,?,?,0.5
purring,?,?,?,0.469
pursuit,?,?,?,0.176
quail,?,0.203,?,?
quaint,?,?,?,0.297
quake,?,0.812,?,?
quandary,0.266,0.453,?,?
quarantine,?,0.578,?,?
quarrel,0.781,?,?,?
quash,?,0.328,?,?
queues,0.318,?,?,?
quiet,?,?,0.094,0.188
quiver,?,0.469,?,?
quivering,?,0.641,?,?
quotes,?,?,?,0.294
rabble,0.394,0.484,?,?
rabid,0.833,0.688,0.375,?
raccoon,?,0.127,?,?
rack,?,?,0.188,?
radiance,?,?,?,0.725
radiant,?,?,?,0.781
radiation,?,0.688,?,?
radioactive,?,0.656,?,?
radon,?,0.391,?,?
rage,0.911,?,?,?
ragemode,0.828,?,?,?
ragetweet,0.788,?,?,?
raging,0.896,0.641,?,?
raid,0.625,0.6,?,?
rail,0.406,?,?,?
rain,?,?,0.163,?
rainbow,?,?,?,0.531
rainbows,?,?,?,0.609
raindrops,?,?,?,0.212
rainy,?,?,0.227,?
rainyday,?,?,0.242,?
ram,0.47,?,?,?
rampage,0.833,0.781,?,?
ransom,0.438,0.644,?,?
rant,0.758,?,?,?
ranting,0.606,?,?,?
rape,0.894,0.87,0.875,?
rapping,0.266,?,?,?
rapt,?,?,?,0.273
raptors,?,0.641,?,?
rapture,?,?,?,0.485
rascal,0.234,0.25,?,?
raspberries,?,?,?,0.36
rat,?,0.484,?,?
rating,0.182,0.25,0.109,?
rationality,?,0.141,?,?
rattlesnake,?,0.641,?,?
rave,0.561,?,?,0.706
ravenous,0.429,0.484,0.391,?
ravine,?,0.484,?,?
raving,0.591,0.5,?,0.578
rawr,0.375,?,?,?
razor,?,0.303,?,?
react,0.288,0.25,?,?
readiness,?,?,?,0.473
readytogo,?,0.172,?,?
rebel,0.547,0.359,?,?
rebellion,0.609,0.531,?,?
rebels,?,0.435,?,?
recalcitrant,0.588,?,?,?
receiving,?,?,?,0.287
recesses,?,0.203,?,?
recession,0.234,0.344,0.485,?
recidivism,0.469,?,0.469,?
reckless,0.531,0.344,?,?
recklessness,0.391,0.406,?,?
reconciliation,?,?,?,0.316
recovery,?,?,?,0.312
recreation,?,?,?,0.545
recreational,?,?,?,0.318
recurring,?,0.359,?,?
redeemed,?,?,?,0.375
refreshed,?,?,?,0.5
refugee,?,?,0.453,?
refused,?,?,0.391,?
refutation,?,0.391,?,?
reggae,?,?,?,0.212
regime,?,0.469,?,?
regiment,?,0.266,?,?
regret,?,?,0.625,?
regretful,?,?,0.75,?
regrettable,?,?,0.509,?
regretted,?,?,0.652,?
regretting,?,?,0.688,?
regulatory,?,0.172,?,?
reject,0.5,0.391,0.547,?
rejected,?,?,0.712,?
rejection,0.426,0.533,0.562,?
rejects,0.5,0.359,0.438,?
rejoice,?,?,?,0.812
rejoicing,?,?,?,0.818
rekindle,?,0.234,?,0.609
relapse,?,0.516,0.53,?
relationship,?,?,?,0.514
relax,?,?,?,0.562
relaxation,?,?,?,0.672
relaxed,?,?,?,0.442
relaxing,?,?,?,0.652
relics,?,?,0.061,?
relief,?,?,?,0.438
relieved,?,?,?,0.647
relight,?,?,?,0.312
reluctant,?,0.297,?,?
remains,?,0.281,?,?
remand,0.375,?,?,?
remarkable,?,?,?,0.516
remedy,?,?,?,0.227
reminiscing,?,?,?,0.456
remiss,0.397,?,0.266,?
remorse,?,?,0.594,?
remove,0.351,0.328,0.281,?
renegade,0.529,?,?,?
renounce,0.484,?,?,?
renovation,?,?,?,0.333
repay,0.136,?,?,0.212
repellant,?,0.373,?,?
repellent,0.442,0.391,?,?
repent,?,0.25,?,?
repress,?,?,0.484,?
repression,?,0.625,?,?
reprimand,0.641,?,?,?
reprisal,0.652,0.766,0.484,?
reproach,0.409,?,0.391,?
reproductive,?,?,?,0.156
repudiation,0.51,?,?,?
repulsion,?,0.431,?,?
requiem,?,?,0.531,?
rescue,?,?,?,0.225
resection,?,0.406,?,?
resent,0.765,?,?,?
resentful,0.545,?,?,?
resentment,0.691,?,0.562,?
resign,0.227,0.453,0.484,?
resignation,?,?,0.547,?
resigned,?,?,0.344,?
resistance,0.543,?,?,?
resistant,?,0.344,?,?
resisting,0.328,0.453,0.309,?
resources,?,?,?,0.288
respect,?,?,?,0.5
respite,?,?,?,0.324
resplendent,?,?,?,0.516
rest,?,?,?,0.469
rested,?,?,?,0.281
restitution,0.281,?,?,?
restless,?,0.204,?,?
restorative,?,?,?,0.318
restrain,0.484,0.453,?,?
restrained,?,0.594,?,?
restrict,?,?,0.259,?
restriction,0.359,0.484,0.438,?
retaliate,0.773,?,?,?
retaliation,0.621,0.641,?,?
retaliatory,0.788,?,?,?
retard,?,0.484,0.516,?
retarded,0.364,?,?,?
retards,0.562,?,?,?
reticent,?,0.422,?,?
retirement,?,0.156,0.188,0.275
retract,0.348,?,?,?
retrenchment,?,0.345,?,?
retribution,0.614,0.545,0.424,?
reunion,?,?,?,0.375
reunite,?,?,?,0.414
reunited,?,?,?,0.515
revel,?,?,?,0.534
revelations,?,0.219,?,?
revels,?,?,?,0.562
revenge,0.738,0.656,?,?
revere,?,?,?,0.594
reverence,?,?,?,0.424
reverend,?,?,?,0.377
reverie,?,?,?,0.636
reversal,0.121,?,?,?
revival,?,?,?,0.359
revoke,0.485,0.469,0.281,?
revolt,0.734,?,?,?
revolting,0.75,0.625,?,?
revolution,0.606,0.359,0.203,?
revolver,0.578,0.672,0.453,?
revulsion,0.773,0.516,?,?
revving,0.309,?,?,?
reward,?,?,?,0.625
rewarding,?,?,?,0.742
rheumatism,0.156,0.438,0.562,?
rhythm,?,?,?,0.338
rhythmical,?,?,?,0.394
ribbon,0.047,?,?,0.212
ridicule,0.534,?,0.518,?
ridiculous,0.289,?,?,?
rifle,0.379,0.453,?,?
rigged,0.391,?,?,?
righteousness,?,?,?,0.439
rigor,?,0.453,?,?
ringer,0.242,?,?,?
riot,0.788,0.766,?,?
riotous,0.734,0.75,?,?
riots,0.824,?,?,?
rip,?,?,0.422,?
rising,?,?,?,0.375
risk,?,0.562,?,?
risky,?,0.562,?,?
rivalry,0.484,?,?,?
roadrage,0.906,?,?,?
roadster,?,?,?,0.125
roadtrip,?,?,?,0.344
roadworks,0.091,?,?,?
roar,0.515,?,?,?
roaring,?,?,?,0.348
rob,0.431,0.609,0.491,?
robber,?,0.516,?,?
robbery,0.544,0.8,0.6,?
rocket,0.25,?,?,?
rod,?,0.172,?,?
rollicking,?,?,?,0.588
romance,?,0.031,0,0.779
romantic,?,?,?,0.75
romanticism,?,?,?,0.656
romp,?,?,?,0.348
rook,0.203,?,?,?
rot,?,0.594,0.5,?
row,0.337,?,?,?
rubble,?,0.406,0.282,?
rue,?,?,0.391,?
ruin,?,0.725,0.656,?
ruined,0.545,0.5,0.697,?
ruinous,0.825,0.625,0.698,?
rule,?,0.188,?,?
rumor,?,?,0.188,?
run,?,0.25,?,?
runaway,?,?,0.562,?
running,?,?,?,0.258
rupture,?,0.706,0.588,?
rush,?,0.281,?,?
rushing,?,0.233,?,?
ruthless,0.797,0.656,?,?
saber,0.238,0.531,?,?
sabotage,0.727,0.703,0.484,?
sacrifices,?,0.562,0.609,?
sad,?,?,0.844,?
sadday,?,?,0.562,?
saddens,?,?,0.812,?
sadly,?,?,0.812,?
sadness,?,?,0.864,?
safe,?,?,?,0.422
sag,?,0.123,?,?
saint,?,?,?,0.328
saintly,?,?,?,0.641
salary,?,?,?,0.234
saloon,0.136,?,?,?
salutary,?,?,?,0.465
salute,?,?,?,0.266
salvation,?,?,?,0.412
samurai,?,0.547,?,?
sanctification,?,?,?,0.364
sanctify,?,?,0.108,0.359
sanctuary,?,?,?,0.541
sand,?,?,?,0.109
santa,?,?,?,0.727
sap,?,?,0.172,?
sarcasm,0.422,?,0.181,?
sarcoma,?,0.625,0.797,?
satanic,0.828,?,?,?
satisfaction,?,?,?,0.652
satisfied,?,?,?,0.5
satisfy,?,?,?,0.656
satisfying,?,?,?,0.703
savage,0.814,0.814,?,?
savagery,0.915,0.875,?,?
save,?,?,?,0.2
savior,?,?,?,0.543
savor,?,?,0.034,0.531
scaffold,?,0.234,?,?
scalpel,?,0.5,?,?
scandal,?,0.547,?,?
scandalous,0.574,?,?,?
scapegoat,0.328,0.25,?,?
scar,0.422,0.406,0.375,?
scarce,?,0.327,0.422,?
scarcely,?,?,0.318,?
scarcity,0.35,0.438,0.453,?
scare,0.588,0.844,?,?
scarecrow,?,0.391,?,?
scared,?,0.734,?,?
scares,?,0.66,?,?
scarier,?,0.672,?,?
scariest,?,0.844,?,?
scary,?,0.766,?,?
scenery,?,?,?,0.453
scenic,?,?,?,0.375
schism,0.439,?,?,?
schizophrenia,0.369,0.703,0.625,?
scholarship,?,?,?,0.455
scifi,?,?,?,0.152
scoff,0.5,?,?,?
scold,0.515,0.453,0.327,?
scolding,0.703,?,?,?
scorching,0.719,?,?,?
score,?,?,?,0.182
scorn,0.769,?,?,?
scorpion,0.333,0.547,?,?
scoundrel,0.682,0.641,?,?
scourge,0.625,0.609,0.641,?
scrapie,0.406,0.469,0.281,?
scream,0.719,0.719,?,?
screaming,0.742,0.781,?,?
screech,?,0.406,?,?
screwed,0.588,?,?,?
screwyou,0.924,?,?,?
scripture,?,?,?,0.196
secluded,?,?,0.453,?
seclusion,?,0.312,?,?
sectarian,0.359,0.359,?,?
sedition,0.422,?,0.469,?
segregate,0.437,?,0.469,?
seize,?,0.625,?,?
seizure,?,0.719,?,?
selfharm,?,0.656,?,?
selfish,0.469,?,?,?
selfishness,0.469,?,?,?
selflove,?,?,?,0.742
selfworth,?,?,?,0.484
senile,?,0.547,0.5,?
sensational,?,?,?,0.818
senseless,0.297,0.328,0.281,?
sensual,?,?,?,0.576
sensuality,?,?,?,0.641
sensuous,?,?,?,0.578
sentence,0.203,0.266,0.234,?
separation,?,0.391,?,?
separatist,0.438,?,?,?
sepsis,?,0.594,0.611,?
sequestration,?,?,0.516,?
serene,?,?,?,0.531
serenity,?,?,?,0.656
seriousness,?,0.305,0.394,?
serpent,?,0.638,?,?
service,?,?,?,0.172
servile,?,0.344,0.359,?
setback,?,?,0.297,?
settlor,?,0.172,?,?
severance,?,?,0.333,?
sex,?,?,?,0.622
shack,?,?,0.266,?
shackle,0.641,0.609,0.609,?
shady,?,0.578,?,?
shaking,?,0.531,?,?
shaky,0.344,0.344,?,?
sham,0.409,?,?,?
shame,?,0.344,0.594,?
shameful,?,?,0.609,?
shanghai,?,0.266,?,?
shank,?,0.328,?,?
share,?,?,?,0.438
sharing,?,?,?,0.439
sharpen,0.288,?,?,?
shatter,0.561,0.672,0.609,?
shattered,?,?,0.63,?
shell,0.234,0.172,0.045,?
shelling,?,0.594,?,?
shelters,?,0.234,?,?
shepherd,?,?,?,0.058
shining,?,?,?,0.515
shipwreck,?,0.766,0.562,?
shit,0.573,?,?,?
shitday,0.727,?,?,?
shitless,?,0.656,?,?
shittest,0.76,?,?,?
shitty,?,?,0.656,?
shiver,0.281,0.484,0.291,?
shock,0.269,0.719,?,?
shoddy,0.344,?,?,?
shoot,0.672,0.734,?,?
shooter,?,0.722,?,?
shooting,0.667,0.812,0.688,?
shoplifting,0.258,?,?,?
shopping,?,?,?,0.382
shortage,0.212,0.344,0.281,?
shot,0.672,0.734,0.547,?
shout,0.667,?,?,?
shove,0.672,?,?,?
shrapnel,?,0.688,?,?
shriek,0.316,0.516,0.485,?
shrill,0.547,0.453,?,?
shrink,?,0.234,0.295,?
shroud,?,?,0.641,?
shudder,?,0.578,?,?
shun,0.5,?,0.547,?
shutdown,?,0.328,?,?
shutit,0.578,?,?,?
shutup,0.578,?,?,?
shy,?,0.14,?,?
sick,?,?,0.531,?
sickening,0.606,0.625,0.75,?
sickly,?,?,0.712,?
sickness,?,0.594,0.828,?
sigh,?,?,0.402,?
silence,?,?,?,0.127
silly,?,?,?,0.516
simmer,0.469,?,?,?
simple,?,?,?,0.141
simplicity,?,?,?,0.375
simplify,?,?,?,0.312
sin,0.547,0.56,0.516,?
sinful,0.491,0.5,0.641,?
sing,?,?,0.017,0.729
singing,?,?,?,0.591
sinister,0.781,0.672,?,?
sinking,?,0.469,?,?
sinner,0.331,0.483,0.609,?
sipping,?,?,?,0.076
siren,?,0.547,?,?
sisterhood,0.015,?,0.125,?
sixty,?,?,?,0.016
sizzle,0.379,?,?,?
sketching,?,?,?,0.266
skewed,0.368,?,?,?
skid,0.25,0.266,0.312,?
skiing,?,?,?,0.234
skirmish,0.545,?,?,?
slam,0.803,0.484,?,?
slander,0.562,?,?,?
slap,0.791,?,?,?
slash,0.571,?,?,?
slaughter,0.844,0.891,0.734,?
slaughterhouse,0.788,0.859,0.703,?
slaughtering,0.914,0.875,0.844,?
slave,0.652,0.531,0.797,?
slavery,0.609,0.75,0.828,?
slay,0.719,?,?,?
slayer,0.703,0.844,0.766,?
sledding,?,?,?,0.422
sleepless,?,0.234,?,?
slender,?,0.1,?,?
slippery,?,0.181,?,?
sluggish,?,?,0.203,?
slump,?,?,0.375,?
slur,0.596,?,0.266,?
slut,0.578,?,?,?
sly,0.375,0.156,?,?
smack,0.615,?,?,?
smash,0.758,0.656,?,?
smell,0.061,?,?,?
smile,?,?,?,0.75
smiled,?,?,?,0.682
smiles,?,?,?,0.766
smiley,?,?,?,0.812
smiling,?,?,?,0.828
smite,0.862,0.516,0.555,?
smother,0.469,?,?,?
smuggle,?,0.565,?,?
smuggler,0.485,0.625,?,?
smut,?,0.328,?,?
snake,?,0.776,?,?
snakes,?,0.802,?,?
snare,?,0.391,?,?
snarl,0.754,?,?,?
snarling,0.697,?,?,?
sneak,0.409,0.266,?,?
sneaking,?,0.375,?,?
sneer,0.574,?,?,?
snort,?,?,0.154,?
snowday,?,?,?,0.333
snowfall,?,?,?,0.286
snowing,?,?,?,0.271
snowmageddon,?,0.5,?,?
snowy,?,?,?,0.234
snubbed,0.422,?,?,?
snuggled,?,?,?,0.594
snuggles,?,?,?,0.522
snuggling,?,?,?,0.625
soak,?,?,?,0.121
soaked,0.226,?,?,?
soangry,0.758,?,?,?
soannoyed,0.588,?,?,?
soar,?,?,?,0.531
sob,?,?,0.688,?
soblessed,?,?,?,0.706
socialanxiety,?,0.688,?,?
socialism,?,0.405,?,?
socialist,0.25,0.318,0.125,?
sodding,0.4,?,?,?
softly,?,?,?,0.297
sohappy,?,?,?,0.868
soldier,0.258,?,0.273,?
solitude,?,?,?,0.125
solucky,?,?,?,0.781
somad,0.637,?,?,?
somber,?,?,0.594,?
somethingigetalot,0.219,?,?,?
somuchtodo,?,0.212,?,?
sonervous,?,0.484,?,?
sonice,?,?,?,0.455
